sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
1,2,1,2.5,20,30,0.5
2,4,2,5,40,60,1
3,6,3,7.5,60,90,1.5
4,8,4,10,80,120,2
5,10,5,12.5,100,150,2.5
6,12,6,15,120,180,3
7,14,7,17.5,140,210,3.5
8,16,8,20,160,240,4
9,18,9,22.5,180,270,4.5
10,20,10,25,200,300,5
11,22,11,27.5,220,330,5.5
12,24,12,30,240,360,6
13,26,1,32.5,260,390,6.5
14,28,2,35,280,420,7
15,30,3,37.5,300,450,7.5
16,32,4,40,320,480,8
17,34,5,42.5,340,510,8.5
18,36,6,45,360,540,9
19,38,7,47.5,380,570,9.5
20,40,8,50,400,600,10
21,42,9,52.5,420,630,10.5
22,44,10,55,440,660,11
23,46,11,57.5,460,690,11.5
24,48,12,60,480,720,12
25,50,1,62.5,500,750,12.5
26,52,2,65,520,780,13
27,54,3,67.5,540,810,13.5
28,56,4,70,560,840,14
29,58,5,72.5,580,870,14.5
30,60,6,75,600,900,15
31,62,7,77.5,620,930,15.5
32,64,8,80,640,960,16
33,66,9,82.5,660,990,16.5
34,68,10,85,680,1020,17
35,70,11,87.5,700,1050,17.5
36,72,12,90,720,1080,18
